date,symbol,action,qty,price,value_inr,cash_after,reasoning_summary
2026-08-09,METROPOLIS,buy,98,562.3,55105.4,944894.6,"Diagnostics chain, Q1 FY27 EPS/revenue beat, steady 12% net margin, low capex-intensity relative to peers. Anchor healthcare position."
2026-08-09,ALKYLAMINE,buy,29,1893.0,54897.0,889997.6,"Specialty amines producer, Q1 FY27 EPS beat estimate by ~120% on margin recovery after a weak chemicals cycle. Early-cycle turnaround bet in specialty chemicals."
2026-08-09,GALAXYSURF,buy,27,2067.0,55809.0,834188.6,"Surfactants/personal-care ingredients exporter with blue-chip client base (Unilever, L'Oreal, Colgate). Reasonable 27x P/E for an export-oriented compounder."
2026-08-09,HOMEFIRST,buy,46,1193.0,54878.0,779310.6,"Affordable housing financier, 51%+ net margins, EPS beat, 21.6x P/E. Quality NBFC lending into an underpenetrated segment."
2026-08-09,JUSTDIAL,buy,80,683.0,54640.0,724670.6,"Local search platform under Reliance Retail control, cheapest name in the basket at 11x P/E with 33% EPS beat and consistent ~35-50% net margins from a largely fixed-cost model."
2026-08-09,ROUTE,buy,104,527.8,54891.2,669779.4,"CPaaS/messaging infra, 13.4x P/E despite a Q1 EPS miss - starting small given the miss, watching next quarter closely before adding."
2026-08-09,VIJAYA,buy,41,1348.0,55268.0,614511.4,"South India diagnostics chain, EPS and revenue beat this quarter, asset-light expansion model. Priced richly (80x P/E) so kept to a standard-size position."
2026-08-09,ESABINDIA,buy,10,5630.0,56300.0,558211.4,"MNC-backed welding/cutting equipment maker, industrial capex proxy, steady ~11-20% operating margins and a dividend payer. Smaller share count due to high per-share price, same rupee weight as peers."
2026-08-09,KNRCON,buy,387,142.0,54954.0,503257.4,"Roads/infra EPC contractor, cheapest quality infra name at 9x P/E with consistent execution track record; high share count reflects low per-share price, not conviction size."
2026-08-09,CCL,buy,49,1128.0,55272.0,447985.4,"Instant coffee manufacturer/exporter, EPS beat, steady ~9-10% margins, diversified export base (India, Vietnam, Switzerland plants). Defensive consumer-export name for the basket."
2026-08-09,SBFC,buy,579,95.0,55005.0,392980.4,"MSME secured lending NBFC, ~44-46% net margins, reasonable 22x P/E. Adds financials exposure distinct from housing-finance-focused HOMEFIRST."
2026-08-09,CAMPUS,buy,245,224.0,54880.0,338100.4,"Branded footwear, EPS/revenue beat, 12%+ revenue growth this quarter. Consumer brand exposure, position sized modestly given a rich 45x P/E."
2026-08-09,MASTEK,buy,30,1833.0,54990.0,283110.4,"Mid-tier IT services/digital transformation, cheap at 13.7x P/E for the sector with an EPS beat this quarter. IT services diversifier."
2026-08-09,CMSINFO,buy,201,273.1,54893.1,228217.3,"Cash logistics/ATM services with high recurring-revenue characteristics, ~15x P/E, steady double-digit net margins. Non-discretionary services exposure, low correlation to consumer-discretionary names already in the basket."
2026-08-09,AVANTIFEED,buy,60,909.0,54540.0,173677.3,"Shrimp feed manufacturer/exporter, 20x P/E, consistent ~9-11% margins. Agri-export exposure diversifies away from industrials/financials concentration."
2026-08-09,SYRMA,buy,39,1420.0,55380.0,118297.3,"Electronics manufacturing services (EMS), Q1 EPS beat by 27.6% and revenue beat by 16.3% on India electronics manufacturing tailwinds. Priced at a rich 74x P/E, so kept to standard size pending margin durability."
2026-08-09,ASTRAMICRO,buy,30,1839.0,55170.0,63127.3,"Defense electronics/RF systems maker, benefiting from India defense indigenization push, Q1 revenue more than doubled YoY. Very rich 91x P/E is the key risk - standard-size position, not oversized."
