rank,symbol,company_name,avg_mcap_lakhs_jul_dec_2024
501,JSWHL,JSW HOLDINGS LIMITED,1114416.637546627
502,MAPMYINDIA,C.E. INFO SYSTEMS LIMITED,1107617.0461185318
503,INDIACEM,THE INDIA CEMENTS LIMITED,1100069.8560219521
504,KPIGREEN,KPI GREEN ENERGY LIMITED,1090793.5670736032
505,REDTAPE,REDTAPE LIMITED,1088576.2964706349
506,HAPPYFORGE,HAPPY FORGINGS LIMITED,1088291.8003914603
507,METROPOLIS,METROPOLIS HEALTHCARE LIMITED,1086420.7196502506
508,JKTYRE,JK TYRE & INDUSTRIES LIMITED,1085527.0512266273
509,INOXINDIA,INOX INDIA LIMITED,1082283.8116587303
510,CERA,CERA SANITARYWARE LIMITED,1074488.2473570677
511,ALKYLAMINE,ALKYL AMINES CHEMICALS LIMITED,1072481.9961772622
512,VESUVIUS,VESUVIUS INDIA LIMITED,1068369.4286812698
513,QUESS,QUESS CORP LIMITED,1059489.3491632733
514,PRUDENT,PRUDENT CORPORATE ADVISORY SERVICES LIMITED,1059476.3445173015
515,BAJAJELEC,BAJAJ ELECTRICALS LIMITED,1057384.2277037057
516,GRAPHITE,GRAPHITE INDIA LIMITED,1054970.8040589758
517,PNCINFRA,PNC INFRATECH LIMITED,1050671.4204459125
518,LEMONTREE,LEMON TREE HOTELS LIMITED,1049369.4632678097
519,SAPPHIRE,SAPPHIRE FOODS INDIA LIMITED,1046724.230132238
520,NETWORK18,NETWORK18 MEDIA & INVESTMENTS LIMITED,1045392.7068790826
521,ISGEC,ISGEC HEAVY ENGINEERING LIMITED,1028721.5916457936
522,GALAXYSURF,GALAXY SURFACTANTS LIMITED,1026721.2407092066
523,RCF,RASHTRIYA CHEMICALS AND FERTILIZERS LIMITED,1024604.7719693651
524,RTNINDIA,RATTANINDIA ENTERPRISES LIMITED,1020331.0756496426
525,SYMPHONY,SYMPHONY LIMITED,1018973.790802381
526,PURVA,PURAVANKARA LIMITED,1015435.4305043176
527,GPPL,GUJARAT PIPAVAV PORT LIMITED,1012894.0910527699
528,BIRLACORPN,BIRLA CORPORATION LIMITED,1007904.6522765991
529,SAREGAMA,SAREGAMA INDIA LIMITED,1005652.9835207142
530,DBREALTY,VALOR ESTATE LIMITED,1004994.8131933135
531,BECTORFOOD,MRS. BECTORS FOOD SPECIALITIES LIMITED,1003751.5636639562
532,ARVIND,ARVIND LIMITED,1003305.2814230878
533,THOMASCOOK,THOMAS COOK  (INDIA)  LIMITED,1002252.1829442972
534,SFL,SHEELA FOAM LIMITED,1002164.8977166751
535,RELINFRA,RELIANCE INFRASTRUCTURE LIMITED,1000867.8790314997
536,LATENTVIEW,LATENT VIEW ANALYTICS LIMITED,998084.3380479845
537,EDELWEISS,EDELWEISS FINANCIAL SERVICES LIMITED,995981.4583992105
538,HOMEFIRST,HOME FIRST FINANCE COMPANY INDIA LIMITED,983643.4099811473
539,PNGJL,P N GADGIL JEWELLERS LIMITED,982219.2174947913
540,FORCEMOT,FORCE MOTORS LIMITED,981744.897329349
541,JUSTDIAL,JUST DIAL LIMITED,981396.2381935955
542,ROUTE,ROUTE MOBILE LIMITED,981294.1393026862
543,HGINFRA,H.G. INFRA ENGINEERING LIMITED,980673.930470893
544,IONEXCHANG,ION EXCHANGE (INDIA) LIMITED,977730.7365121825
545,RENUKA,SHREE RENUKA SUGARS LIMITED,971378.53984848
546,VIJAYA,VIJAYA DIAGNOSTIC CENTRE LIMITED,970950.9168464047
547,SAMMAANCAP,SAMMAAN CAPITAL LIMITED,960286.5102806347
548,JKLAKSHMI,JK LAKSHMI CEMENT LIMITED,955106.9132101979
549,AZAD,AZAD ENGINEERING LIMITED,952730.1747316507
550,ESABINDIA,ESAB INDIA LIMITED,950453.1981645238
551,GNFC,GUJARAT NARMADA VALLEY FERTILIZERS AND CHEMICALS LIMITED,949825.1580099125
552,TIPSMUSIC,TIPS MUSIC LIMITED,947863.1725703175
553,WABAG,VA TECH WABAG LIMITED,942799.0161671271
554,TRIVENI,TRIVENI ENGINEERING & INDUSTRIES LIMITED,941753.7828279686
555,KNRCON,KNR CONSTRUCTIONS LIMITED,941159.4009722223
556,IIFLCAPS,IIFL CAPITAL SERVICES LIMITED,940501.5974057222
557,ABDL,ALLIED BLENDERS AND DISTILLERS LIMITED,939107.8116922439
558,POWERMECH,POWER MECH PROJECTS LIMITED,930757.4777621983
559,CHOICEIN,CHOICE INTERNATIONAL LIMITED,930141.7685912699
560,KIRLPNU,KIRLOSKAR PNEUMATIC COMPANY LIMITED,928525.0330943255
561,AURIONPRO,AURIONPRO SOLUTIONS LIMITED,927459.348835238
562,CCL,CCL PRODUCTS (INDIA) LIMITED,926665.757813016
563,SHAKTIPUMP,SHAKTI PUMPS (INDIA) LIMITED,923892.2410507936
564,SBFC,SBFC FINANCE LIMITED,922293.1941035714
565,PRSMJOHNSN,PRISM JOHNSON LIMITED,915903.2385851585
566,JLHL,JUPITER LIFE LINE HOSPITALS LIMITED,915562.8904775319
567,TEXRAIL,TEXMACO RAIL & ENGINEERING LIMITED,914844.4802008574
568,CAMPUS,CAMPUS ACTIVEWEAR LIMITED,914318.0826880002
569,ITDCEM,ITD CEMENTATION INDIA LIMITED,913205.754124968
570,SHRIPISTON,SHRIRAM PISTONS & RINGS LIMITED,912257.3465662223
571,TIMETECHNO,TIME TECHNOPLAST LIMITED,907170.5323005156
572,SENCO,SENCO GOLD LIMITED,899686.7923004759
573,MASTEK,MASTEK LIMITED,891262.7563712735
574,LLOYDSENGG,LLOYDS ENGINEERING WORKS LIMITED,889653.1129229876
575,BBOX,BLACK BOX LIMITED,885218.1727585715
576,RATEGAIN,RATEGAIN TRAVEL TECHNOLOGIES LIMITED,883164.1856225791
577,GSFC,GUJARAT STATE FERTILIZERS & CHEMICALS LIMITED,882742.5284288493
578,CMSINFO,CMS INFO SYSTEMS LIMITED,880654.434884278
579,RUSTOMJEE,KEYSTONE REALTORS LIMITED,879887.8854304405
580,MAXESTATES,MAX ESTATES LIMITED,879246.921537885
581,VARROC,VARROC ENGINEERING LIMITED,878245.9356666667
582,PGHL,PROCTER & GAMBLE HEALTH LIMITED,874892.6266898889
583,MAHSEAMLES,MAHARASHTRA SEAMLESS LIMITED,871603.4520646188
584,HEG,HEG LIMITED,871427.2538101111
585,RELIGARE,RELIGARE ENTERPRISES LIMITED,870716.5573739844
586,AVANTIFEED,AVANTI FEEDS LIMITED,865624.1750879763
587,ACI,ARCHEAN CHEMICAL INDUSTRIES LIMITED,864852.793475742
588,EQUITASBNK,EQUITAS SMALL FINANCE BANK LIMITED,864550.0696384169
589,SYRMA,SYRMA SGS TECHNOLOGY LIMITED,859727.4925573932
590,STARCEMENT,STAR CEMENT LIMITED,858528.5663852221
591,BLUEJET,BLUE JET HEALTHCARE LIMITED,858442.528807619
592,ASKAUTOLTD,ASK AUTOMOTIVE LIMITED,850712.5638428573
593,GRWRHITECH,GARWARE HI-TECH FILMS LIMITED,850654.0872598336
594,SANSERA,SANSERA ENGINEERING LIMITED,847885.5558119165
595,FDC,FDC LIMITED,847427.7793635553
596,JUNIPER,JUNIPER HOTELS LIMITED,845132.0412715402
597,MEDPLUS,MEDPLUS HEALTH SERVICES LIMITED,845060.5393146353
598,GALLANTT,GALLANTT ISPAT LIMITED,838673.4155386706
599,KTKBANK,THE KARNATAKA BANK LIMITED,834689.1523283493
600,MAHLIFE,MAHINDRA LIFESPACE DEVELOPERS LIMITED,832636.5177966902
601,TCI,TRANSPORT CORPORATION OF INDIA LIMITED,832356.8388495833
602,TVSSCS,TVS SUPPLY CHAIN SOLUTIONS LIMITED,831833.7556304802
603,GANESHHOUC,GANESH HOUSING CORPORATION LIMITED,831731.9761333333
604,ANURAS,ANUPAM RASAYAN INDIA LIMITED,825948.3388142345
605,GMRP&UI,GMR POWER AND URBAN INFRA LIMITED,821507.3415830836
606,SUNTECK,SUNTECK REALTY LIMITED,818185.4683559523
607,EMBDL,EQUINOX INDIA DEVELOPMENTS LIMITED,815702.5891247895
608,RTNPOWER,RATTANINDIA POWER LIMITED,811708.548694127
609,MHRIL,MAHINDRA HOLIDAYS & RESORTS INDIA LIMITED,809157.8843079682
610,RAJESHEXPO,RAJESH EXPORTS LIMITED,809093.601315417
611,GARFIBRES,GARWARE TECHNICAL FIBRES LIMITED,808010.979201262
612,EPIGRAL,EPIGRAL LIMITED,807638.5028228096
613,JKPAPER,JK PAPER LIMITED,806776.6466054448
614,SHOPERSTOP,SHOPPERS STOP LIMITED,806259.6162807258
615,INFIBEAM,INFIBEAM AVENUES LIMITED,803333.316750119
616,EPL,EPL LIMITED,802350.0129927818
617,MOIL,MOIL LIMITED,800258.0785222462
618,ASTRAMICRO,ASTRA MICROWAVE PRODUCTS LIMITED,800040.5463394289
619,CHEMPLASTS,CHEMPLAST SANMAR LIMITED,798733.177549254
620,SANDUMA,SANDUR MANGANESE & IRON ORES LIMITED,797767.4433188572
621,AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LIMITED,791746.4400611111
622,EMIL,ELECTRONICS MART INDIA LIMITED,785074.9631624161
623,DIACABS,DIAMOND POWER INFRASTRUCTURE LIMITED,782931.7778480002
624,UJJIVANSFB,UJJIVAN SMALL FINANCE BANK LIMITED,772492.975868286
625,SHILPAMED,SHILPA MEDICARE LIMITED,767002.8078217144
626,INDIASHLTR,INDIA SHELTER FINANCE CORPORATION LIMITED,765251.5178680081
627,PARADEEP,PARADEEP PHOSPHATES LIMITED,765201.1999181389
628,ETHOSLTD,ETHOS LIMITED,757504.079281266
629,ICIL,INDO COUNT INDUSTRIES LIMITED,753263.5294136509
630,VMART,V-MART RETAIL LIMITED,749741.836085825
631,LXCHEM,LAXMI ORGANIC INDUSTRIES LIMITED,749546.3233620555
632,WELENT,WELSPUN ENTERPRISES LIMITED,748513.8721613095
633,HCC,HINDUSTAN CONSTRUCTION COMPANY LIMITED,745837.3919747497
634,DBL,DILIP BUILDCON LIMITED,745116.1339610913
635,MIDHANI,MISHRA DHATU NIGAM LIMITED,743933.8307142857
636,PDSL,PDS LIMITED,742818.772915357
637,MANINFRA,MAN INFRACONSTRUCTION LIMITED,742308.1504104683
638,IFBIND,IFB INDUSTRIES LIMITED,740064.0713523017
639,TRANSRAILL,TRANSRAIL LIGHTING LIMITED,738094.8734416667
640,DHANUKA,DHANUKA AGRITECH LIMITED,736478.6144185716
641,TMB,TAMILNAD MERCANTILE BANK LIMITED,732521.8870071111
642,ORCHPHARMA,ORCHID PHARMA LIMITED,730606.6948620833
643,NAZARA,NAZARA TECHNOLOGIES LIMITED,729581.5480666667
644,RESPONIND,RESPONSIVE INDUSTRIES LIMITED,729467.4256443335
645,EMUDHRA,EMUDHRA LIMITED,727012.8484359324
646,ARVINDFASN,ARVIND FASHIONS LIMITED,725349.7638525992
647,DODLA,DODLA DAIRY LIMITED,725104.6398437739
648,SUNDARMHLD,SUNDARAM FINANCE HOLDINGS LIMITED,715591.314619762
649,BALUFORGE,BALU FORGE INDUSTRIES LIMITED,709478.4095988096
650,TIIL,TECHNOCRAFT INDUSTRIES (INDIA) LIMITED,708289.127489528
651,INDIGOPNTS,INDIGO PAINTS LIMITED,707004.799260365
652,SUPRAJIT,SUPRAJIT ENGINEERING LIMITED,706696.8962690475
653,BALAMINES,BALAJI AMINES LIMITED,706693.3251349207
654,GREENLAM,GREENLAM INDUSTRIES LIMITED,706463.4872027616
655,SPARC,SUN PHARMA ADVANCED RESEARCH COMPANY LIMITED,706303.6776281192
656,JINDWORLD,JINDAL WORLDWIDE LIMITED,700497.3287873017
657,SUDARSCHEM,SUDARSHAN CHEMICAL INDUSTRIES LIMITED,700204.7890625
658,UNIMECH,UNIMECH AEROSPACE AND MANUFACTURING LIMITED,699917.8522875
659,GABRIEL,GABRIEL INDIA LIMITED,696576.7763576984
660,ASHOKA,ASHOKA BUILDCON LIMITED,694550.0105633491
661,VIPIND,VIP INDUSTRIES LIMITED,692410.5540362381
662,SURYAROSNI,SURYA ROSHNI LIMITED,691388.6507701585
663,BLACKBUCK,ZINKA LOGISTICS SOLUTIONS LIMITED,688734.416140537
664,KRBL,KRBL LIMITED,683164.5724554128
665,GOKEX,GOKALDAS EXPORTS LIMITED,680236.100646996
666,SHARDAMOTR,SHARDA MOTOR INDUSTRIES LIMITED,677774.449109718
667,AMIORG,AMI ORGANICS LIMITED,677121.2182256231
668,NESCO,NESCO LIMITED,674556.5355474603
669,KESORAMIND,KESORAM INDUSTRIES LIMITED,667762.5210996707
670,HNDFDS,HINDUSTAN FOODS LIMITED,665036.0262707184
671,ORIENTCEM,ORIENT CEMENT LIMITED,662481.4056245238
672,SOUTHBANK,THE SOUTH INDIAN BANK LIMITED,655871.6937294563
673,TARC,TARC LIMITED,654345.4422118096
674,BORORENEW,BOROSIL RENEWABLES LIMITED,652980.4005104762
